OrderID,Date,Customer,Product,Quantity,Price,Total_Sales
1,2023-01-01,Prime Technology,Product A - Laptops,8,1134.56,9076.48
2,2023-01-01,Elite Electronics,Product C - Tablets,3,698.76,2096.28
3,2023-01-01,TechCorp Inc,Product C - Tablets,1,589.82,589.82
4,2023-01-01,Global Solutions Ltd,Product D - Headphones,3,166.08,498.24
5,2023-01-01,Prime Technology,Product H - Speakers,1,251.83,251.83
6,2023-01-01,Elite Electronics,Product H - Speakers,1,298.96,298.96
7,2023-01-01,Modern Tech Co,Product E - Monitors,6,591.21,3547.26
8,2023-01-01,TechCorp Inc,Product C - Tablets,2,404.67,809.34
9,2023-01-01,Digital Dynamics,Product G - Mice,13,89.58,1164.54
10,2023-01-01,Data Wizards,Product C - Tablets,1,332.85,332.85
11,2023-01-01,TechCorp Inc,Product A - Laptops,13,1192.67,15504.71
12,2023-01-01,Elite Electronics,Product F - Keyboards,1,198.12,198.12
13,2023-01-01,TechCorp Inc,Product E - Monitors,3,451.05,1353.15
14,2023-01-01,Cyber Innovations,Product A - Laptops,17,913.78,15534.26
15,2023-01-01,TechCorp Inc,Product G - Mice,18,140.37,2526.66
16,2023-01-01,Data Wizards,Product D - Headphones,6,235.3,1411.8
17,2023-01-01,Global Solutions Ltd,Product E - Monitors,11,630.87,6939.57
18,2023-01-01,Elite Electronics,Product E - Monitors,1,696.28,696.28
19,2023-01-01,Prime Technology,Product D - Headphones,6,138.99,833.94
20,2023-01-01,Modern Tech Co,Product B - Smartphones,6,774.77,4648.62
21,2023-01-01,Digital Dynamics,Product F - Keyboards,2,137.54,275.08
22,2023-01-01,Global Solutions Ltd,Product F - Keyboards,8,324.07,2592.56
23,2023-01-01,Future Systems,Product E - Monitors,1,421.17,421.17
24,2023-01-01,Modern Tech Co,Product H - Speakers,9,105.11,945.99
25,2023-01-01,Prime Technology,Product D - Headphones,1,226.86,226.86
26,2023-01-01,Future Systems,Product C - Tablets,4,460.05,1840.2
27,2023-01-01,TechCorp Inc,Product A - Laptops,5,1170.11,5850.55
28,2023-01-01,Future Systems,Product H - Speakers,5,149.09,745.45
29,2023-01-01,NextGen Systems,Product H - Speakers,7,176.92,1238.44
30,2023-01-01,Prime Technology,Product C - Tablets,3,724.42,2173.26
31,2023-01-01,TechCorp Inc,Product E - Monitors,5,587.09,2935.45
32,2023-01-01,TechCorp Inc,Product H - Speakers,1,286.59,286.59
33,2023-01-01,Digital Solutions,Product B - Smartphones,1,719.73,719.73
34,2023-01-01,Prime Technology,Product A - Laptops,4,1163.55,4654.2
35,2023-01-01,Innovation Hub,Product B - Smartphones,4,830.15,3320.6
36,2023-01-01,TechCorp Inc,Product C - Tablets,11,745.42,8199.62
37,2023-01-02,Modern Tech Co,Product G - Mice,3,114.19,342.57
38,2023-01-02,Prime Technology,Product F - Keyboards,3,263.99,791.97
39,2023-01-02,Digital Dynamics,Product B - Smartphones,1,803.28,803.28
40,2023-01-02,Modern Tech Co,Product F - Keyboards,4,265.13,1060.52
41,2023-01-02,Global Solutions Ltd,Product F - Keyboards,11,264.43,2908.73
42,2023-01-02,Digital Solutions,Product F - Keyboards,3,253.69,761.07
43,2023-01-02,Smart Enterprises,Product H - Speakers,2,241.46,482.92
44,2023-01-02,NextGen Systems,Product G - Mice,2,95.48,190.96
45,2023-01-02,Elite Electronics,Product H - Speakers,6,230.33,1381.98
46,2023-01-02,Future Systems,Product C - Tablets,4,371.07,1484.28
47,2023-01-02,TechCorp Inc,Product A - Laptops,3,1181.18,3543.54
48,2023-01-02,Smart Enterprises,Product G - Mice,3,108.4,325.2
49,2023-01-02,Digital Solutions,Product E - Monitors,1,637.57,637.57
50,2023-01-02,Digital Dynamics,Product B - Smartphones,2,654.01,1308.02
51,2023-01-02,Digital Solutions,Product B - Smartphones,6,669.64,4017.84
52,2023-01-02,TechCorp Inc,Product H - Speakers,6,340.28,2041.68
53,2023-01-02,Global Solutions Ltd,Product A - Laptops,4,1138.69,4554.76
54,2023-01-02,Elite Electronics,Product H - Speakers,2,152.07,304.14
55,2023-01-02,Innovation Hub,Product H - Speakers,19,115.63,2196.97
56,2023-01-02,Digital Dynamics,Product B - Smartphones,13,684.99,8904.87
57,2023-01-02,TechCorp Inc,Product E - Monitors,3,594.35,1783.05
58,2023-01-02,Modern Tech Co,Product C - Tablets,6,400.9,2405.4
59,2023-01-02,Innovation Hub,Product D - Headphones,4,108.18,432.72
60,2023-01-02,Modern Tech Co,Product F - Keyboards,7,140.07,980.49
61,2023-01-02,Elite Electronics,Product E - Monitors,6,606.53,3639.18
62,2023-01-02,TechCorp Inc,Product F - Keyboards,1,161.83,161.83
63,2023-01-02,Digital Dynamics,Product G - Mice,7,70.16,491.12
64,2023-01-02,TechCorp Inc,Product C - Tablets,7,449.77,3148.39
65,2023-01-02,Future Systems,Product F - Keyboards,4,249.26,997.04
66,2023-01-02,Modern Tech Co,Product A - Laptops,4,1191.96,4767.84
67,2023-01-02,Digital Solutions,Product H - Speakers,13,310.44,4035.72
68,2023-01-02,Elite Electronics,Product C - Tablets,1,390.51,390.51
69,2023-01-02,TechCorp Inc,Product G - Mice,6,80.87,485.22
70,2023-01-02,Digital Dynamics,Product E - Monitors,13,518.91,6745.83
